Study.Area,Region.Label,Area,Sample.Label,Effort,object,distance
PTExercise1,Default,0,1,1,1,8.39999962
PTExercise1,Default,0,2,1,2,13.79
PTExercise1,Default,0,2,1,3,20.9599991
PTExercise1,Default,0,3,1,4,4.92999983
PTExercise1,Default,0,3,1,5,3.86999989
PTExercise1,Default,0,3,1,6,13.3500004
PTExercise1,Default,0,3,1,7,5.86999989
PTExercise1,Default,0,3,1,8,13.8699999
PTExercise1,Default,0,4,1,9,11.6099997
PTExercise1,Default,0,4,1,10,12.79
PTExercise1,Default,0,4,1,11,17.0100002
PTExercise1,Default,0,4,1,12,5.92000008
PTExercise1,Default,0,4,1,13,11.8100004
PTExercise1,Default,0,4,1,14,14.7799997
PTExercise1,Default,0,5,1,15,19.1000004
PTExercise1,Default,0,5,1,16,7.53000021
PTExercise1,Default,0,5,1,17,24.7199993
PTExercise1,Default,0,5,1,18,10.9499998
PTExercise1,Default,0,6,1,19,9.06999969
PTExercise1,Default,0,6,1,20,7.61000013
PTExercise1,Default,0,6,1,21,9.02999973
PTExercise1,Default,0,6,1,22,15.4399996
PTExercise1,Default,0,6,1,23,34.1599998
PTExercise1,Default,0,6,1,24,16.9500008
PTExercise1,Default,0,6,1,25,9.03999996
PTExercise1,Default,0,6,1,26,9.52000046
PTExercise1,Default,0,6,1,27,15.6700001
PTExercise1,Default,0,7,1,28,13.6300001
PTExercise1,Default,0,7,1,29,5.94999981
PTExercise1,Default,0,7,1,30,12.04
PTExercise1,Default,0,7,1,31,10.1700001
PTExercise1,Default,0,7,1,32,14.1999998
PTExercise1,Default,0,7,1,33,4.94000006
PTExercise1,Default,0,7,1,34,19.2700005
PTExercise1,Default,0,8,1,35,13.7399998
PTExercise1,Default,0,8,1,36,12.7600002
PTExercise1,Default,0,8,1,37,1.75999999
PTExercise1,Default,0,8,1,38,13.5900002
PTExercise1,Default,0,8,1,39,4.03000021
PTExercise1,Default,0,9,1,40,9.86999989
PTExercise1,Default,0,9,1,41,12.2799997
PTExercise1,Default,0,9,1,42,10.5799999
PTExercise1,Default,0,10,1,43,3.8900001
PTExercise1,Default,0,10,1,44,18.3999996
PTExercise1,Default,0,10,1,45,15.3299999
PTExercise1,Default,0,10,1,46,17.6399994
PTExercise1,Default,0,11,1,47,8.44999981
PTExercise1,Default,0,12,1,48,6.3499999
PTExercise1,Default,0,12,1,49,5.80000019
PTExercise1,Default,0,12,1,50,9.96000004
PTExercise1,Default,0,12,1,51,14.0200005
PTExercise1,Default,0,12,1,52,12.6800003
PTExercise1,Default,0,12,1,53,8.01000023
PTExercise1,Default,0,12,1,54,15.6400003
PTExercise1,Default,0,12,1,55,13.04
PTExercise1,Default,0,13,1,56,5.15999985
PTExercise1,Default,0,13,1,57,2.6400001
PTExercise1,Default,0,13,1,58,2.93000007
PTExercise1,Default,0,13,1,59,23.3999996
PTExercise1,Default,0,13,1,60,21.2700005
PTExercise1,Default,0,14,1,61,24.6299992
PTExercise1,Default,0,14,1,62,13.3000002
PTExercise1,Default,0,14,1,63,20.5200005
PTExercise1,Default,0,14,1,64,26.8700008
PTExercise1,Default,0,15,1,65,26.6299992
