Study.Area,Region.Label,Area,Sample.Label,Effort,object,distance
Systematic_variance_1,Default,0.5,1,0.049,NA,NA
Systematic_variance_1,Default,0.5,2,0.098,1,3
Systematic_variance_1,Default,0.5,3,0.147,2,2
Systematic_variance_1,Default,0.5,3,0.147,3,5
Systematic_variance_1,Default,0.5,4,0.196,4,5
Systematic_variance_1,Default,0.5,4,0.196,5,7
Systematic_variance_1,Default,0.5,4,0.196,6,1
Systematic_variance_1,Default,0.5,5,0.245,7,1
Systematic_variance_1,Default,0.5,6,0.294,8,5
Systematic_variance_1,Default,0.5,6,0.294,9,7
Systematic_variance_1,Default,0.5,6,0.294,10,10
Systematic_variance_1,Default,0.5,7,0.343,11,4
Systematic_variance_1,Default,0.5,7,0.343,12,7
Systematic_variance_1,Default,0.5,7,0.343,13,8
Systematic_variance_1,Default,0.5,7,0.343,14,1
Systematic_variance_1,Default,0.5,7,0.343,15,0
Systematic_variance_1,Default,0.5,7,0.343,16,3
Systematic_variance_1,Default,0.5,7,0.343,17,2
Systematic_variance_1,Default,0.5,7,0.343,18,1
Systematic_variance_1,Default,0.5,8,0.392,19,3
Systematic_variance_1,Default,0.5,8,0.392,20,3
Systematic_variance_1,Default,0.5,8,0.392,21,8
Systematic_variance_1,Default,0.5,8,0.392,22,2
Systematic_variance_1,Default,0.5,8,0.392,23,5
Systematic_variance_1,Default,0.5,8,0.392,24,0
Systematic_variance_1,Default,0.5,8,0.392,25,2
Systematic_variance_1,Default,0.5,8,0.392,26,3
Systematic_variance_1,Default,0.5,8,0.392,27,5
Systematic_variance_1,Default,0.5,9,0.441,28,2
Systematic_variance_1,Default,0.5,9,0.441,29,0
Systematic_variance_1,Default,0.5,9,0.441,30,5
Systematic_variance_1,Default,0.5,9,0.441,31,8
Systematic_variance_1,Default,0.5,9,0.441,32,2
Systematic_variance_1,Default,0.5,9,0.441,33,1
Systematic_variance_1,Default,0.5,9,0.441,34,6
Systematic_variance_1,Default,0.5,9,0.441,35,4
Systematic_variance_1,Default,0.5,9,0.441,36,1
Systematic_variance_1,Default,0.5,10,0.49,37,10
Systematic_variance_1,Default,0.5,10,0.49,38,7
Systematic_variance_1,Default,0.5,10,0.49,39,7
Systematic_variance_1,Default,0.5,10,0.49,40,3
Systematic_variance_1,Default,0.5,10,0.49,41,9
Systematic_variance_1,Default,0.5,10,0.49,42,9
Systematic_variance_1,Default,0.5,10,0.49,43,1
Systematic_variance_1,Default,0.5,10,0.49,44,6
Systematic_variance_1,Default,0.5,10,0.49,45,8
Systematic_variance_1,Default,0.5,10,0.49,46,2
Systematic_variance_1,Default,0.5,10,0.49,47,5
Systematic_variance_1,Default,0.5,10,0.49,48,8
Systematic_variance_1,Default,0.5,10,0.49,49,0
Systematic_variance_1,Default,0.5,10,0.49,50,3
Systematic_variance_1,Default,0.5,11,0.539,51,1
Systematic_variance_1,Default,0.5,11,0.539,52,2
Systematic_variance_1,Default,0.5,11,0.539,53,10
Systematic_variance_1,Default,0.5,11,0.539,54,0
Systematic_variance_1,Default,0.5,11,0.539,55,4
Systematic_variance_1,Default,0.5,11,0.539,56,3
Systematic_variance_1,Default,0.5,11,0.539,57,2
Systematic_variance_1,Default,0.5,11,0.539,58,3
Systematic_variance_1,Default,0.5,11,0.539,59,5
Systematic_variance_1,Default,0.5,11,0.539,60,3
Systematic_variance_1,Default,0.5,11,0.539,61,1
Systematic_variance_1,Default,0.5,11,0.539,62,5
Systematic_variance_1,Default,0.5,11,0.539,63,4
Systematic_variance_1,Default,0.5,11,0.539,64,1
Systematic_variance_1,Default,0.5,11,0.539,65,2
Systematic_variance_1,Default,0.5,11,0.539,66,4
Systematic_variance_1,Default,0.5,11,0.539,67,5
Systematic_variance_1,Default,0.5,11,0.539,68,0
Systematic_variance_1,Default,0.5,12,0.588,69,7
Systematic_variance_1,Default,0.5,12,0.588,70,1
Systematic_variance_1,Default,0.5,12,0.588,71,9
Systematic_variance_1,Default,0.5,12,0.588,72,5
Systematic_variance_1,Default,0.5,12,0.588,73,1
Systematic_variance_1,Default,0.5,12,0.588,74,1
Systematic_variance_1,Default,0.5,12,0.588,75,1
Systematic_variance_1,Default,0.5,12,0.588,76,2
Systematic_variance_1,Default,0.5,12,0.588,77,1
Systematic_variance_1,Default,0.5,12,0.588,78,4
Systematic_variance_1,Default,0.5,12,0.588,79,6
Systematic_variance_1,Default,0.5,12,0.588,80,5
Systematic_variance_1,Default,0.5,12,0.588,81,1
Systematic_variance_1,Default,0.5,13,0.637,82,6
Systematic_variance_1,Default,0.5,13,0.637,83,0
Systematic_variance_1,Default,0.5,13,0.637,84,1
Systematic_variance_1,Default,0.5,13,0.637,85,7
Systematic_variance_1,Default,0.5,13,0.637,86,2
Systematic_variance_1,Default,0.5,13,0.637,87,1
Systematic_variance_1,Default,0.5,13,0.637,88,7
Systematic_variance_1,Default,0.5,13,0.637,89,3
Systematic_variance_1,Default,0.5,13,0.637,90,4
Systematic_variance_1,Default,0.5,13,0.637,91,2
Systematic_variance_1,Default,0.5,13,0.637,92,2
Systematic_variance_1,Default,0.5,13,0.637,93,2
Systematic_variance_1,Default,0.5,13,0.637,94,1
Systematic_variance_1,Default,0.5,13,0.637,95,3
Systematic_variance_1,Default,0.5,13,0.637,96,5
Systematic_variance_1,Default,0.5,13,0.637,97,3
Systematic_variance_1,Default,0.5,13,0.637,98,6
Systematic_variance_1,Default,0.5,13,0.637,99,0
Systematic_variance_1,Default,0.5,13,0.637,100,3
Systematic_variance_1,Default,0.5,13,0.637,101,5
Systematic_variance_1,Default,0.5,13,0.637,102,9
Systematic_variance_1,Default,0.5,14,0.686,103,4
Systematic_variance_1,Default,0.5,14,0.686,104,9
Systematic_variance_1,Default,0.5,14,0.686,105,6
Systematic_variance_1,Default,0.5,14,0.686,106,3
Systematic_variance_1,Default,0.5,14,0.686,107,4
Systematic_variance_1,Default,0.5,14,0.686,108,2
Systematic_variance_1,Default,0.5,14,0.686,109,0
Systematic_variance_1,Default,0.5,14,0.686,110,5
Systematic_variance_1,Default,0.5,14,0.686,111,8
Systematic_variance_1,Default,0.5,14,0.686,112,3
Systematic_variance_1,Default,0.5,14,0.686,113,9
Systematic_variance_1,Default,0.5,14,0.686,114,3
Systematic_variance_1,Default,0.5,14,0.686,115,2
Systematic_variance_1,Default,0.5,14,0.686,116,9
Systematic_variance_1,Default,0.5,14,0.686,117,3
Systematic_variance_1,Default,0.5,15,0.735,118,2
Systematic_variance_1,Default,0.5,15,0.735,119,1
Systematic_variance_1,Default,0.5,15,0.735,120,3
Systematic_variance_1,Default,0.5,15,0.735,121,4
Systematic_variance_1,Default,0.5,15,0.735,122,1
Systematic_variance_1,Default,0.5,15,0.735,123,4
Systematic_variance_1,Default,0.5,15,0.735,124,0
Systematic_variance_1,Default,0.5,15,0.735,125,4
Systematic_variance_1,Default,0.5,15,0.735,126,4
Systematic_variance_1,Default,0.5,15,0.735,127,3
Systematic_variance_1,Default,0.5,15,0.735,128,2
Systematic_variance_1,Default,0.5,15,0.735,129,1
Systematic_variance_1,Default,0.5,15,0.735,130,3
Systematic_variance_1,Default,0.5,15,0.735,131,5
Systematic_variance_1,Default,0.5,15,0.735,132,4
Systematic_variance_1,Default,0.5,15,0.735,133,1
Systematic_variance_1,Default,0.5,15,0.735,134,9
Systematic_variance_1,Default,0.5,15,0.735,135,2
Systematic_variance_1,Default,0.5,15,0.735,136,0
Systematic_variance_1,Default,0.5,15,0.735,137,9
Systematic_variance_1,Default,0.5,15,0.735,138,7
Systematic_variance_1,Default,0.5,15,0.735,139,2
Systematic_variance_1,Default,0.5,15,0.735,140,2
Systematic_variance_1,Default,0.5,15,0.735,141,8
Systematic_variance_1,Default,0.5,15,0.735,142,7
Systematic_variance_1,Default,0.5,15,0.735,143,1
Systematic_variance_1,Default,0.5,16,0.784,144,5
Systematic_variance_1,Default,0.5,16,0.784,145,10
Systematic_variance_1,Default,0.5,16,0.784,146,7
Systematic_variance_1,Default,0.5,16,0.784,147,3
Systematic_variance_1,Default,0.5,16,0.784,148,7
Systematic_variance_1,Default,0.5,16,0.784,149,2
Systematic_variance_1,Default,0.5,16,0.784,150,3
Systematic_variance_1,Default,0.5,16,0.784,151,1
Systematic_variance_1,Default,0.5,16,0.784,152,1
Systematic_variance_1,Default,0.5,16,0.784,153,1
Systematic_variance_1,Default,0.5,16,0.784,154,1
Systematic_variance_1,Default,0.5,16,0.784,155,0
Systematic_variance_1,Default,0.5,16,0.784,156,5
Systematic_variance_1,Default,0.5,16,0.784,157,3
Systematic_variance_1,Default,0.5,16,0.784,158,5
Systematic_variance_1,Default,0.5,16,0.784,159,1
Systematic_variance_1,Default,0.5,16,0.784,160,0
Systematic_variance_1,Default,0.5,16,0.784,161,2
Systematic_variance_1,Default,0.5,16,0.784,162,5
Systematic_variance_1,Default,0.5,16,0.784,163,5
